扩展名,用途,变种,出处
.mef,Mamiya (Phase One) Electronic Form,Mamiya MEF;16-bit;medium-format;ZLD/MEF variants,https://en.wikipedia.org/wiki/Raw_image_format
.mel,Maya Embedded Language,MEL script,https://en.wikipedia.org/wiki/Maya_(software)
.mem,原始内存导出文件,raw memory,https://en.wikipedia.org/wiki/Memory_dump
.meson.build,Meson 构建脚本,meson.build,https://en.wikipedia.org/wiki/Meson_(software)
.mex,MATLAB MEX 函数,"mex, mexax, mexw32, mexw64",https://en.wikipedia.org/wiki/MATLAB
.mexax,MATLAB MEX for macOS Apple Silicon,mexax,https://www.mathworks.com/help/matlab/matlab_external/
.mexglx,MATLAB MEX for Linux,mexglx,https://www.mathworks.com/help/matlab/matlab_external/
.mexmaci,MATLAB MEX for macOS Intel 32-bit,mexmaci,https://www.mathworks.com/help/matlab/matlab_external/
.mexmaci64,MATLAB MEX for macOS Intel 64-bit,mexmaci64,https://www.mathworks.com/help/matlab/matlab_external/
.mexw32,MATLAB MEX for Windows 32-bit,mexw32,https://www.mathworks.com/help/matlab/matlab_external/
.mexw64,MATLAB MEX for Windows 64-bit,mexw64,https://www.mathworks.com/help/matlab/matlab_external/
.mha,MetaImage single-file format,.mha in one file;ASCII header + binary data;ITK/VTK,https://en.wikipedia.org/wiki/ITK
.mha,MetaImage 单文件(Meta + data),mha,https://itk.org/Wiki/ITK/MetaIO
.mhd,MetaImage header for ITK/VTK,MetaImage .mhd/.raw pair;ASCII header;raw voxel data;ITK/VTK,https://en.wikipedia.org/wiki/ITK
.mhd,"MetaImage 元数据, .mhd+.raw/raw/.mha",mhd,https://itk.org/Wiki/ITK/MetaIO
.mht,Single-file MHTML archive,MIME HTML;Microsoft IE,https://en.wikipedia.org/wiki/MHTML
.mhtml,MIME Encapsulation of Aggregate HTML documents (RFC 2557),MHTML RFC 2557;multipart/related;web archive,https://en.wikipedia.org/wiki/MHTML
.mid,MIDI 标准 1.0 文件,MIDI Type 0/1/2/SMF,https://en.wikipedia.org/wiki/MIDI
.midi,MIDI 文件扩展名,Standard MIDI File,https://en.wikipedia.org/wiki/MIDI
.milvus,Milvus 向量数据库文件,milvus,https://milvus.io/docs
.minidmp,Windows minidump 目录后缀,minidump,https://learn.microsoft.com/en-us/windows/win32/debug/minidump_directory
.misc,IntelliJ misc.xml 文件,misc,https://www.jetbrains.com/help/idea/
.mix.exs,Elixir Mix 项目配置,mix.exs,https://hexdocs.pm/mix/Mix.Project.html
.mix.lock,Elixir Mix 锁定依赖,mix.lock,https://hexdocs.pm/mix/
.mjs,JavaScript ES module,ECMAScript module;Node;browser,https://en.wikipedia.org/wiki/JavaScript
.mk,Makefile 片段/常用 mk 扩展,mk,https://en.wikipedia.org/wiki/Make_(software)
.mka,Matroska 音频容器,MKA/MKV/MK3D 容器,https://en.wikipedia.org/wiki/Matroska
.mkdn,Markdown file (alternate extension),CommonMark/GFM,https://en.wikipedia.org/wiki/Markdown
.mks,MKV 字幕/章节,MKS,https://en.wikipedia.org/wiki/Matroska
.mkv,Matroska 视频容器,MKV/MK3D/WebM,https://en.wikipedia.org/wiki/Matroska
.ml,OCaml source code,OCaml 4.x/5.x;Jane Street,https://en.wikipedia.org/wiki/OCaml
.mla,Musepack 无损音频,MPC/Musepack,https://en.wikipedia.org/wiki/Musepack
.mli,OCaml interface signature,OCaml ML interface,https://en.wikipedia.org/wiki/OCaml
.mlp,Meridian Lossless Packing (Dolby TrueHD),MLP in TrueHD,https://en.wikipedia.org/wiki/Meridian_Lossless_Packing
.mm,Objective-C++ source code,ObjC++;.mm extension;Mixes ObjC and C++,https://en.wikipedia.org/wiki/Objective-C%2B%2B
.mnc,MINC medical imaging format,MINC v1/v2 (MNI);NetCDF/HDF5;medical;MRI/PET,https://en.wikipedia.org/wiki/MINC
.mnc.gz,gzip 压缩 MINC,mnc.gz,https://en.wikipedia.org/wiki/MINC
.mnc1,MINC v1,mnc1,https://en.wikipedia.org/wiki/MINC
.mnc2,MINC v2 (HDF5),mnc2,https://en.wikipedia.org/wiki/MINC
.mng,Multiple-image Network Graphics (predecessor of APNG),MNG 1.0/1.1;JNG chunks;PNG8/PNG24/JPEG/Delta-PNG frames;animation;loop,https://en.wikipedia.org/wiki/Multiple-image_Network_Graphics
.mo,GNU gettext 编译机器对象,mo,https://en.wikipedia.org/wiki/Gettext
.mo3,MO3 压缩模块 (MP3/OGG),MO3,https://en.wikipedia.org/wiki/MO3
.mobi,Mobipocket e-book (Amazon pre-Kindle),MOBI 1-7/8 (MOBI 7 is Kindle);PRC sub-format,https://en.wikipedia.org/wiki/Mobipocket
.mod,Amiga Protracker 模块,ProTracker NoiseTracker,https://en.wikipedia.org/wiki/MOD_(file_format)
.modules,IntelliJ modules.xml 或 modules 目录,modules,https://www.jetbrains.com/help/idea/
.mol,MDL Molfile,MOL 2004;CTfile,https://en.wikipedia.org/wiki/MDL_CTfile
.mongodb,MongoDB WiredTiger 数据文件,"wt, BSON",https://en.wikipedia.org/wiki/MongoDB
.mount,systemd mount 单元,mount,https://www.freedesktop.org/software/systemd/man/systemd.mount.html
.mov,QuickTime File Format 容器,QTFF/MOV,https://en.wikipedia.org/wiki/QuickTime_File_Format
.mp1,MPEG-1 Audio Layer I,MP1,https://en.wikipedia.org/wiki/MPEG-1_Audio_Layer_I
.mp2,MPEG-1 Audio Layer II,MP2/MPA,https://en.wikipedia.org/wiki/MPEG-1_Audio_Layer_II
.mp3,MPEG-1/2 Audio Layer III 有损压缩,MP3/MP2/MP1/MPEG-2.5/Layer 3,https://en.wikipedia.org/wiki/MP3
.mp3hd,MP3HD (Fraunhofer) 无损,MP3HD lossy+lossless,https://en.wikipedia.org/wiki/MP3HD
.mp3pro,MP3 Surround / MP3Pro,MP3Pro,https://en.wikipedia.org/wiki/MP3Pro
.mp4,MPEG-4 Part 14 容器,MP4/MP42/isom/3gp5,https://en.wikipedia.org/wiki/MP4_file_format
.mp4v,MPEG-4 视频裸流,MP4V,https://en.wikipedia.org/wiki/MPEG-4
.mpa,MPEG Audio 通用扩展,MPA (MP1/MP2/MP3),https://en.wikipedia.org/wiki/MPEG-1_Audio_Layer_II
.mpd,MPEG-DASH 清单,MPD,https://en.wikipedia.org/wiki/Dynamic_Adaptive_Streaming_over_HTTP
.mpe,MPEG 视频扩展,MPE/MPG,https://en.wikipedia.org/wiki/MPEG-1
.mpeg,MPEG 系统流容器,MPEG-PS/MPEG-TS,https://en.wikipedia.org/wiki/MPEG_program_stream
.mpg,MPEG-1/2 视频文件,MPG/MPEG,https://en.wikipedia.org/wiki/MPEG-1
.mpkg,macOS 多软件包,MPKG,https://en.wikipedia.org/wiki/Installer_(macOS)
.mpo,Multi-Picture Object (stereoscopic 3D JPEG),MPO MPF (Multi-Picture Format);stereoscopic;Exif MP-format;two JPEG,https://en.wikipedia.org/wiki/JPEG#MPO
.mpq,Blizzard Mo'PaQ,MPQ/MPQ2/MPQ3,https://en.wikipedia.org/wiki/MPQ_(file_format)
.mpq2,MPQ v2 (WoW),MPQ2,https://en.wikipedia.org/wiki/MPQ_(file_format)
.mpq3,MPQ v3 (WoW Cataclysm),MPQ3,https://en.wikipedia.org/wiki/MPQ_(file_format)
.mpv,MPEG-1/2 Video Elementary Stream,MPV/M1V/M2V,https://en.wikipedia.org/wiki/MPEG-1
.mpv2,MPEG-2 视频裸流,MPV2,https://en.wikipedia.org/wiki/MPEG-2
.mrw,Minolta RAW (MRW),Minolta MRW 12/16-bit;raw + metadata;DiMAGE,https://en.wikipedia.org/wiki/Raw_image_format
.msc,Microsoft 管理控制台,MSC,https://en.wikipedia.org/wiki/Microsoft_Management_Console
.msdf,Multi-channel Signed Distance Field,MSDF,https://en.wikipedia.org/wiki/Signed_distance_field
.msgpack,MessagePack 二进制序列化,msgpack v5,https://en.wikipedia.org/wiki/MessagePack
.msi,Windows Installer 包,MSI/MSP/MST,https://en.wikipedia.org/wiki/Windows_Installer
.msp,Windows Installer 补丁,MSP,https://en.wikipedia.org/wiki/Windows_Installer
.mst,Windows Installer 转换,MST,https://en.wikipedia.org/wiki/Windows_Installer
.msu,Windows 更新独立包,MSU,https://en.wikipedia.org/wiki/Windows_Update
.msv,Sony Memory Stick 语音,MSV,https://en.wikipedia.org/wiki/Memory_Stick
.mt2s,MPEG-4/MPEG-7 TS,MT2S,https://en.wikipedia.org/wiki/MPEG_transport_stream
.mtl,LightWave 材质文件,MTL,https://en.wikipedia.org/wiki/Wavefront_Technologies
.mtl,Wavefront MTL 材质库,mtl,https://en.wikipedia.org/wiki/Wavefront_.obj_file
.mtm,MultiTracker Module,MTM,https://en.wikipedia.org/wiki/MultiTracker
.mtn,Magix Movie Edit Pro,MTN 自动保存,https://en.wikipedia.org/wiki/Magix
.mtp,MuseScore 标签,MuseScore,https://en.wikipedia.org/wiki/MuseScore
.mts,AVCHD MPEG-2 TS,MTS,https://en.wikipedia.org/wiki/AVCHD
.mun,Windows 安装卸载日志,MUN,https://en.wikipedia.org/wiki/Windows_Installer
.mw,Maple 工作表,mw,https://en.wikipedia.org/wiki/Maple_(software)
.mws,Maple 工作表(经典),mws,https://en.wikipedia.org/wiki/Maple_(software)
.mx,Mathematica 序列化表达,mx,https://en.wikipedia.org/wiki/Wolfram_Mathematica
.mxf,Material Exchange Format 专业媒体,MXF OP-Atom/OP1A,https://en.wikipedia.org/wiki/Material_Exchange_Format
.mxmf,Mobile XMF MIDI,三星手机铃声格式,https://en.wikipedia.org/wiki/Extensible_Music_Format
.myd,MySQL MyISAM 数据文件,MyISAM data,https://en.wikipedia.org/wiki/MyISAM
.myi,MySQL MyISAM 索引文件,MyISAM index,https://en.wikipedia.org/wiki/MyISAM
.nam,IDA 名称文件,nam,https://hex-rays.com/ida-pro/
.nb,Mathematica notebook (legacy),Notebook;Mathematica 5-12,https://en.wikipedia.org/wiki/Wolfram_Mathematica
.nc,NetCDF self-describing array,NetCDF-3/4;CF/Climate Forecast conventions,https://en.wikipedia.org/wiki/NetCDF
.nc4,NetCDF-4 (HDF5),NetCDF-4/HDF5;CF conventions,https://en.wikipedia.org/wiki/NetCDF
.ncb,Visual C++ 旧 IntelliSense DB,ncb,https://en.wikipedia.org/wiki/Visual_Studio
.ndf,SQL Server 次要数据文件,SECONDARY data file,https://en.wikipedia.org/wiki/Microsoft_SQL_Server
.ndjson,Newline-Delimited JSON,RFC 7464 NDJSON;streaming JSON,https://en.wikipedia.org/wiki/JSON_streaming
.nef,Nikon Electronic Format RAW,NEF 12/14-bit;Nikon NEF compressed/uncompressed/lossless;pre-Capture NX-D,https://en.wikipedia.org/wiki/Raw_image_format
.neo4j,Neo4j 图数据库存储,neo4j-store,https://en.wikipedia.org/wiki/Neo4j
.netcdf,NetCDF text header,NetCDF,https://en.wikipedia.org/wiki/NetCDF
.nfcapd,NetFlow capture daemon 文件,nfcapd,https://github.com/phaag/nfdump
.nfdump,NetFlow/IPFIX 工具数据格式,nfcapd,https://github.com/phaag/nfdump
.ngc,Network General sniffer format,ngc,https://en.wikipedia.org/wiki/Network_General
.nib,macOS Interface Builder NeXTSTEP,nib,https://en.wikipedia.org/wiki/Interface_Builder
.nif,NetImmerse/Gamebryo NIF,NIF,https://en.wikipedia.org/wiki/NetImmerse
.nii,NIfTI-1 neuroimaging format,NIfTI-1 (single .nii);header+image;16/32/64-bit float;affine transform,https://en.wikipedia.org/wiki/Neuroimaging_Informatics_Technology_Initiative
.nii.gz,Gzip-compressed NIfTI,NIfTI-1 with gzip;2-file pair .hdr/.img also used,https://en.wikipedia.org/wiki/Neuroimaging_Informatics_Technology_Initiative
.nilfs2,NILFS2 持续快照日志结构 FS,nilfs2,https://en.wikipedia.org/wiki/NILFS
.nmake,Microsoft NMake makefile,nmake,https://learn.microsoft.com/en-us/cpp/build/reference/nmake-reference
.nmap,Nmap 文本输出 (oN),nmap,https://nmap.org/book/man-output.html
.npmignore,npm 发布包忽略规则,npmignore,https://docs.npmjs.com/cli/v10/configuring-npm/package-json#files
.npy,NumPy array file,NumPy v1.0+;NPY v1;ASCII header,https://en.wikipedia.org/wiki/NumPy
.npz,NumPy compressed (zip) arrays,NumPy zlib;NPY in zip,https://en.wikipedia.org/wiki/NumPy
.nrg,Nero Burning ROM 镜像,NRG,https://en.wikipedia.org/wiki/Nero_Burning_ROM
.nrg,Nero Burning ROM 创建的光盘镜像格式,"Nero v1/v2, encrypted",https://en.wikipedia.org/wiki/NRG_(file_format)
.nrrd,Nearly Raw Raster Data (Teem),NRRD v1/v2/v3;ASCII/HTML/binary header;gzip/bzip2 compressed,https://en.wikipedia.org/wiki/Nrrd
.nrw,Nikon RAW (reduced resolution compact cameras),Nikon NRW;12-bit;compact camera RAW;NEF-derived,https://en.wikipedia.org/wiki/Raw_image_format
.nse,Nmap Scripting Engine 脚本,nse,https://nmap.org/book/man-nse.html
.nsf,NES Sound Format,NSF/NSFE,https://en.wikipedia.org/wiki/NES_Sound_Format
.nsf,Lotus Notes/Domino 数据库,nsf 1-8,https://en.wikipedia.org/wiki/Notes_Storage_Facility
.nsf2,Lotus Notes 数据库 v2 (罕见),nsf2,https://en.wikipedia.org/wiki/Notes_Storage_Facility
.nsf3,Lotus Notes 数据库 v3 (罕见),nsf3,https://en.wikipedia.org/wiki/Notes_Storage_Facility
.nsf4,Lotus Notes 数据库 v4 (罕见),nsf4,https://en.wikipedia.org/wiki/Notes_Storage_Facility
.nsf5,Lotus Notes 数据库 v5,nsf5,https://en.wikipedia.org/wiki/Notes_Storage_Facility
.nsfe,NES Sound Format Extended,NSFE,https://en.wikipedia.org/wiki/NES_Sound_Format
.nsv,NullSoft Video,NSV,https://en.wikipedia.org/wiki/Nullsoft_Software_Video
.ntds.dit,Active Directory NTDS 数据库,ntds.dit,https://en.wikipedia.org/wiki/Active_Directory
.ntfs,"Windows NT File System, NT 5.0+",ntfs 3.0/3.1/3.1+,https://en.wikipedia.org/wiki/NTFS
.numbers,Apple Numbers spreadsheet,NUMBERS 1.0+;zip+XML+images;iWork,https://en.wikipedia.org/wiki/Numbers_(spreadsheet)
.nuv,NuppelVideo 时间码,NUV,https://en.wikipedia.org/wiki/NuppelVideo
.nvram,VMware VM BIOS/EFI 非易失存储,nvram,https://en.wikipedia.org/wiki/VMware
.o,Unix 目标文件,.o/.obj,https://en.wikipedia.org/wiki/Object_file
.oat,Android OAT 优化 DEX,OAT,https://en.wikipedia.org/wiki/Android_Runtime
.obj,Wavefront 3D object mesh,OBJ ASCII;v/vt/vn/f/g/s/o/smooth;mtl material file,https://en.wikipedia.org/wiki/Wavefront_.obj_file
.oci,Open Container Image Layout (OCI Image Format),"oci, index.json",https://github.com/opencontainers/image-spec/blob/main/spec.md
.oci-layout,OCI Layout 描述符,oci-layout,https://github.com/opencontainers/image-spec/blob/main/spec.md
.ocsp,"Online Certificate Status Protocol, RFC 6960",OCSP,https://en.wikipedia.org/wiki/Online_Certificate_Status_Protocol
.ocx,OLE 控件扩展,OCX,https://en.wikipedia.org/wiki/Object_Linking_and_Embedding
.odc,OpenDocument Chart,ODF zip+XML;charts,https://en.wikipedia.org/wiki/OpenDocument
.odf,OpenDocument Formula (also generic ODF),ODF 1.2 formula;zip+XML;LibreOffice Math,https://en.wikipedia.org/wiki/OpenDocument
.odg,OpenDocument Graphics,ODF zip+XML;LibreOffice Draw,https://en.wikipedia.org/wiki/OpenDocument
.odi,OpenDocument Image,ODF zip+XML;LibreOffice Image,https://en.wikipedia.org/wiki/OpenDocument
.odm,OpenDocument Master,ODF zip+XML;master document,https://en.wikipedia.org/wiki/OpenDocument
.odp,OpenDocument Presentation,ODF zip+XML;LibreOffice Impress,https://en.wikipedia.org/wiki/OpenDocument
.ods,OpenDocument Spreadsheet,ODF 1.0-1.3 zip+XML;LibreOffice Calc,https://en.wikipedia.org/wiki/OpenDocument
.odt,OpenDocument Text (LibreOffice/OOo),ODF 1.0/1.1/1.2/1.3;ISO 26300;zip+XML;LibreOffice,https://en.wikipedia.org/wiki/OpenDocument
.oel,OpenEXR ID/Loose,OEL,https://en.wikipedia.org/wiki/OpenEXR
.ofr,OptimFROG 无损音频,OFR/OFS 容器,https://en.wikipedia.org/wiki/OptimFROG
.ofs,OptimFROG 单流格式,OFS 容器,https://en.wikipedia.org/wiki/OptimFROG
.oga,Ogg 仅音频容器,Ogg Vorbis/Speex/Opus,https://en.wikipedia.org/wiki/Ogg
.ogg,Ogg 容器 (Vorbis/Opus/FLAC),.ogg/.oga/.ogv/.spx,https://en.wikipedia.org/wiki/Ogg
.ogg,OriginLab/或音频 Ogg,"ogg, opj",https://en.wikipedia.org/wiki/Origin_(software)
.ogm,Ogg Media (旧版),OGM,https://en.wikipedia.org/wiki/Ogg_Media
.ogu,OriginLab Origin Unicode,ogu,https://en.wikipedia.org/wiki/Origin_(software)
.ogv,Ogg 视频容器 (Theora),OGV,https://en.wikipedia.org/wiki/Ogg
.okt,Amiga Oktalyzer 模块,OKT,https://en.wikipedia.org/wiki/Oktalyzer
.old,旧版本备份,OLD,https://en.wikipedia.org/wiki/Backup
.old,前一个版本备份,old,https://en.wikipedia.org/wiki/.bak
.opj,OriginLab Origin 项目,opj,https://en.wikipedia.org/wiki/Origin_(software)
.opus,Opus 有损/语音交互式编解码,Ogg Opus/WebM Opus,https://en.wikipedia.org/wiki/Opus_(audio_format)
.ora,OpenRaster layered image format (GIMP/Inkscape compatible),ORA spec 1.0;layers/groups/text;PNG tile stacks;zip container,https://en.wikipedia.org/wiki/OpenRaster
.orc,Apache ORC columnar,Optimized Row Columnar;Hive;zlib/snappy,https://en.wikipedia.org/wiki/Apache_ORC
.orf,Olympus RAW Format,ORF v1/v2/v3/v4;12/14-bit;Olympus E-system,https://en.wikipedia.org/wiki/Raw_image_format
.org,Org-mode document,Emacs Org-mode;outlines;TODOs;literate,https://en.wikipedia.org/wiki/Org-mode
.orig,原始备份(apt patch/merge 常见),orig,https://en.wikipedia.org/wiki/Backup
.ost,"Microsoft Outlook 离线文件夹, IMAP/Exchange 缓存",ost 97-2019,https://en.wikipedia.org/wiki/Offline_Storage_Table
.otc,ODF chart template,ODF 1.3,https://en.wikipedia.org/wiki/OpenDocument
.otc,OpenType Collection,OTC,https://en.wikipedia.org/wiki/OpenType
.otf,OpenType Font,OTF,https://en.wikipedia.org/wiki/OpenType
.otg,OpenDocument Graphics Template,ODF zip+XML;template,https://en.wikipedia.org/wiki/OpenDocument
.otp,OpenDocument Presentation Template,ODF zip+XML;template,https://en.wikipedia.org/wiki/OpenDocument
.ots,OpenDocument Spreadsheet Template,ODF zip+XML;template,https://en.wikipedia.org/wiki/OpenDocument
.ott,OpenDocument Text Template,ODF 1.0-1.3;zip+XML;LibreOffice,https://en.wikipedia.org/wiki/OpenDocument
.out,通用输出文件,out,https://en.wikipedia.org/wiki/Standard_streams
.ova,Open Virtualization Archive,OVA,https://en.wikipedia.org/wiki/Open_Virtualization_Format
.ovf,Open Virtualization Format XML 描述符,ovf,https://en.wikipedia.org/wiki/Open_Virtualization_Format
.ovmf,OVMF UEFI 固件,OVMF,https://en.wikipedia.org/wiki/Open_Virtualization_Format
.ovpn,OpenVPN 客户端配置,ovpn,https://openvpn.net/community-resources/reference-manual-for-openvpn-2-4/
.oxps,Open XML Paper Specification (Windows 8+),OOXML;fixed page,https://en.wikipedia.org/wiki/Open_XML_Paper_Specification
.oxt,OpenOffice/LibreOffice 扩展,oxt,https://en.wikipedia.org/wiki/OpenOffice.org
.p00,Commodore PC-20 档案格式,p00,https://en.wikipedia.org/wiki/P00
.p12,PKCS#12 证书容器,P12,https://en.wikipedia.org/wiki/PKCS_12
.p7b,PKCS#7 证书链(无私钥),PKCS7,https://en.wikipedia.org/wiki/PKCS_7
.p7c,PKCS#7 证书容器,PKCS7,https://en.wikipedia.org/wiki/PKCS_7
.p7m,PKCS#7 签名消息,PKCS7,https://en.wikipedia.org/wiki/PKCS_7
.p7s,PKCS#7 签名数据,PKCS7,https://en.wikipedia.org/wiki/PKCS_7
.p7z,PKCS#7 多消息,PKCS7,https://en.wikipedia.org/wiki/PKCS_7
.p8,PKCS#8 私钥,PKCS8,https://en.wikipedia.org/wiki/PKCS_8
.p8.pem,PKCS#8 PEM 私钥,PKCS8 PEM,https://en.wikipedia.org/wiki/PKCS_8
.pac,Spruce subtitle PAC,PAC,https://en.wikipedia.org/wiki/EBU_STL
.pack,Git pack 文件,PACK,https://en.wikipedia.org/wiki/Git
.package-lock.json,npm 锁定依赖树,lockfile v1/v2/v3,https://docs.npmjs.com/cli/v10/configuring-npm/package-lock-json
.package.json,Node.js 项目元数据,package.json,https://docs.npmjs.com/cli/v10/configuring-npm/package-json
.package.resolved,Swift PM 锁定依赖,Package.resolved,https://www.swift.org/documentation/package-manager/
.package.swift,Swift Package Manager 清单,Package.swift,https://www.swift.org/documentation/package-manager/
.packer_cache,Packer 缓存目录,packer_cache,https://www.packer.io/docs
.pagefile.sys,"Windows 页面文件, 虚拟内存交换",pagefile,https://en.wikipedia.org/wiki/Paging
.pages,Apple Pages word processor document,PAGES 1.0+;zip+XML+images;PAGES_iWork;macOS/iCloud,https://en.wikipedia.org/wiki/Pages_(word_processor)
.pak,通用打包文件,PAK,https://en.wikipedia.org/wiki/Package_format
.pam,Portable Arbitrary Map NetPBM advanced format,PAM (P7);arbitrary tuple type/depth;alpha;CMYK;HDR;NetPBM,https://en.wikipedia.org/wiki/Netpbm
.parquet,Apache Parquet columnar data,Parquet 1.x/2.x;columnar;big data;Hive/Impala/Spark,https://en.wikipedia.org/wiki/Apache_Parquet
.part1,部分文件第 1 部分,part1.part2,https://en.wikipedia.org/wiki/File_splitting
.part2,部分文件第 2 部分,part2,https://en.wikipedia.org/wiki/File_splitting
.pat,Pattern/GigaStudio 音色,PAT/GIG,https://en.wikipedia.org/wiki/GigaStudio
.path,systemd path 单元,path,https://www.freedesktop.org/software/systemd/man/systemd.path.html
.pbm,Portable Bitmap NetPBM 1-bit black & white,PGM P1 (ASCII) / P4 (binary);1-bit B/W;NetPBM,https://en.wikipedia.org/wiki/Netpbm
.pbxproj,Xcode 项目文件,pbxproj,https://developer.apple.com/library/archive/featuredarticles/XcodeConcepts/Concept-Projects.html
.pcap,"Packet Capture, libpcap 二进制格式",pcap classic,https://en.wikipedia.org/wiki/Pcap
.pcapng,"PCAP Next Generation, 多块格式",pcapng,https://github.com/pcapng/pcapng
.pcf,Portable Compiled Font,PCF,https://en.wikipedia.org/wiki/Portable_Compiled_Format
.pcm,原始 PCM 采样数据,大端/小端/有符号/浮点,https://en.wikipedia.org/wiki/Pulse-code_modulation
.pcx,PC Paintbrush Exchange raster,PCX v0/2/3/4/5;1/4/8/24 bpp;RLE;VGA 256-color palette,https://en.wikipedia.org/wiki/PCX
.pdb,Comic Book (Palm Database) archive,PalmDOC/palm database;Plucker eReader;Manga,https://en.wikipedia.org/wiki/Plucker_(e-book)
.pdb,Protein Data Bank,PDB v3.x;macromolecular,https://en.wikipedia.org/wiki/Protein_Data_Bank_(file_format)
.pdb,Program Debug Database,PDB,https://en.wikipedia.org/wiki/Program_database
.pdd,Adobe Photoshop CS5+ recovery format,Photoshop CS5+;lossless zlib on top of PSD;recovery only,https://en.wikipedia.org/wiki/Adobe_Photoshop#File_format
.pdf,Portable Document Format (Adobe),PDF 1.0-2.0;ISO 32000-1/-2;linearized;tagged;encrypted;Forms;AcroForms;JavaScript,https://en.wikipedia.org/wiki/PDF
.pdfa,PDF/A (archival subset) variant,PDF/A-1/-2/-3/-4 (ISO 19005);no encryption;embedded fonts,https://en.wikipedia.org/wiki/PDF/A
.pdfx,PDF/X (print exchange) variant,PDF/X-1a/-3/-4/-5/-6;ISO 15929/15930;CMYK;no transparency,https://en.wikipedia.org/wiki/PDF/X
.pef,Pentax Electronic Format,PEF 12/14-bit;Pentax K-series;compressed/uncompressed,https://en.wikipedia.org/wiki/Raw_image_format
.pem,Privacy-Enhanced Mail 证书,PEM,https://en.wikipedia.org/wiki/Privacy-Enhanced_Mail
.pfa,PostScript Font ASCII,PFA,https://en.wikipedia.org/wiki/PostScript_fonts
.pfb,PostScript Font Binary,PFB,https://en.wikipedia.org/wiki/PostScript_fonts
.pfm,Portable FloatMap NetPBM HDR grayscale/color,FLOAT PAM-like;32/64-bit float;grayscale/RGB;NetPBM,https://en.wikipedia.org/wiki/Netpbm
.pfm,Printer Font Metrics,PFM,https://en.wikipedia.org/wiki/Adobe_Font_Metrics
.pfx,PKCS#12 旧扩展名,PFX,https://en.wikipedia.org/wiki/PKCS_12
.pgdata,PostgreSQL 默认表空间目录,"base, global, pg_wal",https://en.wikipedia.org/wiki/PostgreSQL
.pgm,Portable GrayMap NetPBM grayscale raster,PGM P2 (ASCII) / P5 (binary);8/16-bit grayscale;NetPBM,https://en.wikipedia.org/wiki/Netpbm
.pgp,Pretty Good Privacy 签名,PGP,https://en.wikipedia.org/wiki/Pretty_Good_Privacy
.pgsql,PostgreSQL SQL script,PostgreSQL 9-16+;psql,https://en.wikipedia.org/wiki/PostgreSQL
.php,PHP source code,PHP 5/7/8;Hypertext Preprocessor,https://en.wikipedia.org/wiki/PHP
.php3,PHP 3 source,PHP 3;legacy,https://en.wikipedia.org/wiki/PHP
.php4,PHP 4 source,PHP 4;legacy,https://en.wikipedia.org/wiki/PHP
.php5,PHP 5 source,PHP 5;legacy,https://en.wikipedia.org/wiki/PHP
.phps,PHP source (highlighted),PHP source with syntax highlighting,https://en.wikipedia.org/wiki/PHP
.phtml,PHP HTML template (older),PHP HTML;legacy extension,https://en.wikipedia.org/wiki/PHP
.pickle,Python pickle 序列化对象(任意数据),protocol 0-5,https://docs.python.org/3/library/pickle.html
.pif,程序信息文件 DOS/Windows,PIF,https://en.wikipedia.org/wiki/Program_information_file
.pipfile,Python Pipenv 依赖声明,Pipfile,https://pipenv.pypa.io/en/latest/
.pipfile.lock,Pipenv 锁定版本,Pipfile.lock,https://pipenv.pypa.io/en/latest/
.pk3,Quake 3 PK3 (ZIP),PK3/PK4,https://en.wikipedia.org/wiki/Quake_III_Arena
.pk4,Quake 4 PK4 (ZIP),PK4,https://en.wikipedia.org/wiki/Quake_III_Arena
.pkb,PL/SQL package body binary,Oracle PL/SQL;legacy,https://en.wikipedia.org/wiki/PL/SQL
.pkg,macOS Installer flat package,PKG,https://en.wikipedia.org/wiki/Installer_(macOS)
.pkg.tar.gz,Arch Linux 包,pkg.tar.gz,https://en.wikipedia.org/wiki/Arch_Linux
.pkg.tar.xz,Arch Linux 包,pkg.tar.xz,https://en.wikipedia.org/wiki/Arch_Linux
.pkg.tar.zst,Arch Linux 包,pkg.tar.zst,https://en.wikipedia.org/wiki/Arch_Linux
.pkm,ETC1/PKM 纹理,PKM,https://en.wikipedia.org/wiki/Ericsson_Texture_Compression
.pks,PL/SQL package spec,Oracle PL/SQL,https://en.wikipedia.org/wiki/PL/SQL
.pl,Perl source code,Perl 5/5.32+;Raku/.pl6,https://en.wikipedia.org/wiki/Perl
.playbook.yml,Ansible Playbook,"playbook.yml, playbook.yaml",https://docs.ansible.com/ansible/latest/playbook_guide/index.html
.plb,PL/SQL package body,Oracle PL/SQL,https://en.wikipedia.org/wiki/PL/SQL
.plist,Apple Property List XML/二进制,plist XML/binary,https://en.wikipedia.org/wiki/Property_list
.pls,PLS 播放列表,PLS M3U,https://en.wikipedia.org/wiki/PLS_(file_format)
.plsql,PL/SQL script,PL/SQL Oracle 12c/19c/21c,https://en.wikipedia.org/wiki/PL/SQL
.plt,HP-GL/2 plotter file (AutoCAD),HP-GL/2;pen plotter;vector CAD,https://en.wikipedia.org/wiki/HP-GL/2
.ply,Polygon File Format (Stanford),PLY ASCII/binary;vertices/faces/properties;3D scan,https://en.wikipedia.org/wiki/PLY_(file_format)
